dataset,relation,keep,edge_seed,seed,model,norm,init,layers,n_nodes,n_edges,auc,auprc,mad,mad_random,train_time_s,mean_degree,deg_p50,deg_p90,deg_max,isolated_frac,edge_homophily,n_components,largest_cc_frac,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9
yelp,net_rsr,0.1,1,2,GCN,graph,default,2,45954,680548,0.7233262916631096,0.35418295478754547,0.031144781038165092,0.3010725975036621,8.9,14.809330940246582,14.0,28.0,79.0,0.02563432976603508,0.7726508378982544,2031,0.010140575357966662,0.7208945031281582,0.008470410765642367,0.3519300196591665,0.015200206982955813,0.3537234042553192,0.43369565217391304,0.2986526946107784,0.09243697478991597,0.717391304347826,0.04940119760479042,0.008915304606240713,0.6,0.004491017964071856
yelp,net_rsr,0.1,1,3,GCN,graph,default,2,45954,680548,0.7215205377178433,0.3439530901778656,0.02904425747692585,0.295308917760849,8.9,14.809330940246582,14.0,28.0,79.0,0.02563432976603508,0.7726508378982544,2031,0.010140575357966662,0.7228316111706876,0.007590543188483304,0.34637989238148187,0.01488339024025868,0.34929078014184395,0.4282608695652174,0.2949101796407186,0.07563025210084033,0.5869565217391305,0.040419161676646706,0.010401188707280832,0.7,0.005239520958083832
yelp,net_rsr,0.1,1,1,SAGE,none,default,2,45954,680548,0.8153806313035843,0.4734025934723281,0.09894711524248123,0.12419086694717407,3.7,14.809330940246582,14.0,28.0,79.0,0.02563432976603508,0.7726508378982544,2031,0.010140575357966662,0.8155789541019753,0.005724340206481393,0.47392515975923144,0.013062233191032776,0.44060283687943264,0.5402173913043479,0.37200598802395207,0.09523809523809523,0.7391304347826086,0.05089820359281437,0.01188707280832095,0.8,0.005988023952095809
yelp,net_rsr,0.1,1,2,SAGE,none,default,2,45954,680548,0.8345605917746992,0.5119437326120048,0.11502440273761749,0.1472025215625763,3.7,14.809330940246582,14.0,28.0,79.0,0.02563432976603508,0.7726508378982544,2031,0.010140575357966662,0.834797713932348,0.005713007262640844,0.5118223535618708,0.014985209323693124,0.4574468085106383,0.5608695652173913,0.38622754491017963,0.10504201680672269,0.8152173913043478,0.0561377245508982,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rsr,0.1,1,3,SAGE,none,default,2,45954,680548,0.8067439300370745,0.47304768554947274,0.09003163129091263,0.114772267639637,3.7,14.809330940246582,14.0,28.0,79.0,0.02563432976603508,0.7726508378982544,2031,0.010140575357966662,0.8076955417480542,0.005797857366388095,0.4751076877742281,0.013139054034643527,0.425531914893617,0.5217391304347826,0.3592814371257485,0.1092436974789916,0.8478260869565217,0.058383233532934134,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rsr,0.1,1,1,SAGE,graph,default,2,45954,680548,0.8504099235337877,0.5654326756723919,0.3300815522670746,0.42115041613578796,5.4,14.809330940246582,14.0,28.0,79.0,0.02563432976603508,0.7726508378982544,2031,0.010140575357966662,0.8506653208926691,0.0055598893471028735,0.5666210025436115,0.013023778943953259,0.5168439716312057,0.633695652173913,0.43637724550898205,0.1134453781512605,0.8804347826086957,0.06062874251497006,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rsr,0.1,1,2,SAGE,graph,default,2,45954,680548,0.8609841480480993,0.589920815881973,0.3343736231327057,0.4201732575893402,5.4,14.809330940246582,14.0,28.0,79.0,0.02563432976603508,0.7726508378982544,2031,0.010140575357966662,0.8609290751286296,0.005397259727095583,0.5897482729180471,0.014549616809328694,0.5203900709219859,0.6380434782608696,0.4393712574850299,0.12044817927170869,0.9347826086956522,0.06437125748502993,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rsr,0.1,1,3,SAGE,graph,default,2,45954,680548,0.8486319430893813,0.5620693789938347,0.29516181349754333,0.38566309213638306,5.4,14.809330940246582,14.0,28.0,79.0,0.02563432976603508,0.7726508378982544,2031,0.010140575357966662,0.8487396420745545,0.0054437641267682515,0.5633728392864665,0.01465536952646419,0.5053191489361702,0.6195652173913043,0.42664670658682635,0.11484593837535013,0.8913043478260869,0.061377245508982034,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rsr,0.1,2,1,GCN,none,default,2,45954,680548,0.6599717443930876,0.2686097526747411,0.0010225422447547317,0.02126307412981987,7.2,14.809330940246582,14.0,28.0,67.0,0.027853941544890404,0.7721747756004333,2111,0.010140575357966662,0.6595525581004851,0.007407592726087516,0.2701719972662747,0.01194521095965772,0.27393617021276595,0.3358695652173913,0.2312874251497006,0.06162464985994398,0.4782608695652174,0.03293413173652695,0.007429420505200594,0.5,0.0037425149700598802
yelp,net_rsr,0.1,2,2,GCN,none,default,2,45954,680548,0.6480148473419759,0.2583775573837085,0.001273894333280623,0.026750367134809494,7.2,14.809330940246582,14.0,28.0,67.0,0.027853941544890404,0.7721747756004333,2111,0.010140575357966662,0.6463458257395793,0.008709198871853098,0.25699334234355103,0.011547089911824605,0.2579787234042553,0.31630434782608696,0.21781437125748504,0.06862745098039216,0.532608695652174,0.036676646706586824,0.010401188707280832,0.7,0.005239520958083832
