dataset,relation,mean_degree,n_nodes,n_edges,model,norm,init,seed,layers,auc,auprc,mad,mad_random,train_time_s,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9
yelp,net_rtr,24.96,45954,1147232,GAT,graph,default,3,2,0.6419687515244461,0.2472599981355167,0.012529721483588219,0.3957407772541046,21.5,0.6433555524255838,0.008080246815426606,0.24979450710071177,0.010638962958395348,0.2329495128432241,0.28524945770065074,0.1968562874251497,0.07142857142857142,0.5543478260869565,0.03817365269461078,0.013343217197924388,0.6923076923076923,0.006736526946107785
yelp,net_rtr,24.96,45954,1147232,SAGE,none,default,1,2,0.8141026691525299,0.4700567769326992,0.10826800763607025,0.12069121748209,5.4,0.8142203276998246,0.0056715190060740595,0.4698630806311327,0.012887470706736575,0.4317375886524823,0.5293478260869565,0.36452095808383234,0.10084033613445378,0.782608695652174,0.05389221556886228,0.01337295690936107,0.9,0.006736526946107785
yelp,net_rtr,24.96,45954,1147232,SAGE,none,default,2,2,0.8327043405551422,0.5153449830721049,0.12207469344139099,0.1384924054145813,5.4,0.8327300155143815,0.0054049847289988455,0.5153305560184269,0.014524625569874295,0.4583333333333333,0.5619565217391305,0.3869760479041916,0.1092436974789916,0.8478260869565217,0.058383233532934134,0.01337295690936107,0.9,0.006736526946107785
yelp,net_rtr,24.96,45954,1147232,SAGE,none,default,3,2,0.8121992077454052,0.47776995153994617,0.09552141278982162,0.10889126360416412,5.4,0.8128025911099915,0.005496789804800143,0.48014225307857494,0.012067048038458063,0.42907801418439717,0.5260869565217391,0.36227544910179643,0.1092436974789916,0.8478260869565217,0.058383233532934134,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rtr,24.96,45954,1147232,SAGE,layer,default,1,2,0.837444081414564,0.5377696690016027,0.2041739970445633,0.24807263910770416,5.6,0.8374037011082329,0.005179204634337391,0.5375826661320897,0.012821214958462987,0.48936170212765956,0.6,0.41317365269461076,0.11204481792717087,0.8695652173913043,0.059880239520958084,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rtr,24.96,45954,1147232,SAGE,layer,default,2,2,0.8469355205068478,0.5549631947115655,0.2114126980304718,0.2721269428730011,5.6,0.8470500137664662,0.004877294311234954,0.5543165297127329,0.0143645159602153,0.48936170212765956,0.6,0.41317365269461076,0.11764705882352941,0.9130434782608695,0.06287425149700598,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rtr,24.96,45954,1147232,SAGE,layer,default,3,2,0.8407904786150713,0.5478805503069486,0.1744839996099472,0.22045090794563293,5.7,0.8410636063382632,0.005244955337885297,0.5493421007209907,0.01297835470665552,0.48404255319148937,0.5934782608695652,0.4086826347305389,0.11764705882352941,0.9130434782608695,0.06287425149700598,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rtr,24.96,45954,1147232,SAGE,graph,default,1,2,0.8550267082942059,0.5827785924281731,0.33468496799468994,0.4284824728965759,7.2,0.855094700934308,0.005400591201924606,0.5828078935004679,0.012971448823222107,0.5230496453900709,0.6413043478260869,0.4416167664670659,0.11624649859943978,0.9021739130434783,0.06212574850299401,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rtr,24.96,45954,1147232,SAGE,graph,default,2,2,0.8620414466382916,0.6029210415116272,0.331238329410553,0.41633135080337524,7.2,0.8618726442555265,0.00478153766330437,0.6022756302699206,0.014665026194790511,0.5319148936170213,0.6521739130434783,0.4491017964071856,0.12044817927170869,0.9347826086956522,0.06437125748502993,0.01337295690936107,0.9,0.006736526946107785
yelp,net_rtr,24.96,45954,1147232,SAGE,graph,default,3,2,0.851855288913009,0.5879090533898318,0.2945074141025543,0.37642669677734375,7.1,0.8517526601113375,0.005484415428350197,0.5897345442482517,0.013321131856978256,0.5230496453900709,0.6413043478260869,0.4416167664670659,0.12044817927170869,0.9347826086956522,0.06437125748502993,0.014858841010401188,1.0,0.0074850299401197605
