dataset,model,norm,stats,seed,init,layers,n_stat_nodes,auc,auprc,mad,mad_random,train_time_s,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9
yelp,GCN,graph,all,2,default,2,45954,0.6422605876586948,0.2850478098598223,0.01936904340982437,0.39966174960136414,68.1,0.640315827793834,0.00945785151963665,0.28229635772806483,0.012842934380989905,0.26684397163120566,0.32717391304347826,0.2252994011976048,0.09803921568627451,0.7608695652173914,0.05239520958083832,0.014858841010401188,1.0,0.0074850299401197605
yelp,GCN,graph,all,3,default,2,45954,0.6409712874403941,0.2831542915569585,0.01595071330666542,0.38819223642349243,68.1,0.6403532543744344,0.00791396468742104,0.2842984853144217,0.012529851282833262,0.2695035460992908,0.33043478260869563,0.2275449101796407,0.09103641456582633,0.7065217391304348,0.048652694610778445,0.014858841010401188,1.0,0.0074850299401197605
yelp,SAGE,none,all,1,default,2,45954,0.8110488226703415,0.4645693223332027,0.09416858851909637,0.107102170586586,28.7,0.8112898075706386,0.005720174082260443,0.4646615232416492,0.012987166325034407,0.42641843971631205,0.5228260869565218,0.36002994011976047,0.10224089635854341,0.7934782608695652,0.05464071856287425,0.01188707280832095,0.8,0.005988023952095809
yelp,SAGE,none,all,2,default,2,45954,0.8303935662280327,0.5067837797571153,0.10646713525056839,0.12236372381448746,28.6,0.8303036525725146,0.005446254277041583,0.5066728019808486,0.014094127745297608,0.45567375886524825,0.558695652173913,0.3847305389221557,0.1092436974789916,0.8478260869565217,0.058383233532934134,0.01337295690936107,0.9,0.006736526946107785
yelp,SAGE,none,all,3,default,2,45954,0.807187543827823,0.4698978070693469,0.08361591398715973,0.09552085399627686,28.7,0.8080720429798248,0.0055393787416945,0.472599385238949,0.01258117392698541,0.4237588652482269,0.5195652173913043,0.35778443113772457,0.1092436974789916,0.8478260869565217,0.058383233532934134,0.01337295690936107,0.9,0.006736526946107785
yelp,SAGE,layer,all,1,default,2,45954,0.845842730907838,0.5546551679777616,0.20120930671691895,0.24132534861564636,28.9,0.8458215144216499,0.005144520387351489,0.5547364452452553,0.01287188897465223,0.500886524822695,0.6141304347826086,0.42290419161676646,0.1134453781512605,0.8804347826086957,0.06062874251497006,0.014858841010401188,1.0,0.0074850299401197605
yelp,SAGE,layer,all,2,default,2,45954,0.8526212277583327,0.5805399281396556,0.22458110749721527,0.27887165546417236,28.9,0.8526161667065341,0.005381174935049936,0.5798594155872923,0.014253424219374906,0.5079787234042553,0.6228260869565218,0.42889221556886226,0.12184873949579832,0.9456521739130435,0.06511976047904192,0.014858841010401188,1.0,0.0074850299401197605
yelp,SAGE,layer,all,3,default,2,45954,0.8460517229288875,0.5669762872634985,0.1765661984682083,0.21650277078151703,29.0,0.8463742394073445,0.00531692075998331,0.5689864164252997,0.013618638734164301,0.5,0.6130434782608696,0.4221556886227545,0.11764705882352941,0.9130434782608695,0.06287425149700598,0.014858841010401188,1.0,0.0074850299401197605
yelp,SAGE,batch,all,1,default,2,45954,0.8720310937442832,0.6289816688047468,0.3194984793663025,0.41219156980514526,28.9,0.8721812851333297,0.00517001300253317,0.6293176330601741,0.011933356056895165,0.5478723404255319,0.6717391304347826,0.4625748502994012,0.12184873949579832,0.9456521739130435,0.06511976047904192,0.014858841010401188,1.0,0.0074850299401197605
yelp,SAGE,batch,all,2,default,2,45954,0.8782366847262705,0.6544794406521757,0.32972168922424316,0.4142823815345764,29.0,0.8779406379934146,0.005127490682192941,0.6540774176411177,0.01339851642300908,0.5709219858156028,0.7,0.4820359281437126,0.12745098039215685,0.9891304347826086,0.06811377245508982,0.014858841010401188,1.0,0.0074850299401197605
yelp,SAGE,batch,all,3,default,2,45954,0.8686497295632766,0.6355284208383412,0.2863878309726715,0.3699199855327606,29.2,0.868591046457845,0.004986679730752812,0.637107701202266,0.013170283746706457,0.5629432624113475,0.6902173913043478,0.4752994011976048,0.12324929971988796,0.9565217391304348,0.0658682634730539,0.014858841010401188,1.0,0.0074850299401197605
